RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
1777,27,400.0,15,8,3,0.15,400,GOVERNED,0.0,0.7,5,3,27,GOVERNED,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1778,27,400.0,15,8,3,0.15,400,GOVERNED,0.0,0.9,5,3,27,GOVERNED,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1770,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,0.9,5,3,27,CLOSED_LOOP,6,215,169,13,67,44,44,2,0,0.0,1.3409090909090908,60.0,0.0,60.0
1779,27,400.0,15,8,3,0.15,400,GOVERNED,0.0,1.0,5,3,27,GOVERNED,16,400,0,0,0,0,0,0,0,0.0,0.0,160.0,0.0,160.0
1773,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0.7,5,3,27,CLOSED_LOOP,1,204,182,6,122,54,54,6,0,0.0,1.0,10.0,0.0,10.0
1780,27,400.0,15,8,3,0.15,400,GOVERNED,0.1,0.5,5,3,27,GOVERNED,7,371,25,4,1,5,5,0,0,0.0,2.8,70.0,0.0,70.0
1774,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0.9,5,3,27,CLOSED_LOOP,1,41,332,24,205,85,84,2,0,0.0117647058823529,1.0,10.0,0.0,10.0
1772,27,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,0.5,5,3,27,CLOSED_LOOP,0,182,195,4,93,68,67,13,0,0.014705882352941124,1.0895522388059702,0.0,0.0,0.0
1784,27,400.0,15,8,3,0.15,400,GOVERNED,0.25,0.5,5,3,27,GOVERNED,4,338,52,4,21,17,17,3,0,0.0,1.411764705882353,40.0,0.0,40.0
1785,27,400.0,15,8,3,0.15,400,GOVERNED,0.25,0.7,5,3,27,GOVERNED,4,243,135,16,43,37,35,4,0,0.05405405405405406,2.742857142857143,40.0,0.0,40.0
1792,28,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0.5,5,3,28,OPEN_LOOP,0,400,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
