RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,radio,competencia,costo_edicion,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
715,14,400.0,15,8,3,0.15,400,GOVERNED,0.25,3.0,0.9,5,14,GOVERNED,5,348,47,3,17,12,12,1,0,0.0,1.5,50.0,0.0,50.0
721,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,3.0,0.9,5,15,OPEN_LOOP,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
723,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,1.0,0.9,5,15,OPEN_LOOP,4,398,0,0,0,2,2,2,0,0.0,6.5,40.0,0.0,40.0
726,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,1.0,0.9,5,15,OPEN_LOOP,5,397,0,0,0,3,3,3,0,0.0,1.0,50.0,0.0,50.0
720,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,1.0,0.9,5,15,OPEN_LOOP,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
722,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,,0.9,5,15,OPEN_LOOP,27,400,0,0,0,0,0,0,0,0.0,0.0,270.0,0.0,270.0
724,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,3.0,0.9,5,15,OPEN_LOOP,15,389,0,0,0,10,10,11,0,0.0,3.4,150.0,0.0,150.0
713,14,400.0,15,8,3,0.15,400,GOVERNED,0.1,,0.9,5,14,GOVERNED,18,305,82,10,12,18,18,3,0,0.0,1.0,180.0,0.0,180.0
725,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,,0.9,5,15,OPEN_LOOP,27,386,0,0,0,20,20,14,0,0.0,1.0,270.0,0.0,270.0
727,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,3.0,0.9,5,15,OPEN_LOOP,5,395,0,0,0,5,5,5,0,0.0,1.0,50.0,0.0,50.0
718,14,400.0,15,8,3,0.15,400,GOVERNED,0.5,3.0,0.9,5,14,GOVERNED,0,49,330,12,211,94,94,6,0,0.0,1.0212765957446808,0.0,0.0,0.0
707,14,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,,0.9,5,14,CLOSED_LOOP,0,3,392,4,245,103,103,0,0,0.0,1.0,0.0,0.0,0.0
729,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,1.0,0.9,5,15,OPEN_LOOP,5,394,0,0,0,6,6,6,0,0.0,1.0,50.0,0.0,50.0
733,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,3.0,0.9,5,15,COLD_RESTART,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
728,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,,0.9,5,15,OPEN_LOOP,24,370,0,0,0,48,48,30,0,0.0,1.0,240.0,0.0,240.0
730,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,3.0,0.9,5,15,OPEN_LOOP,9,388,0,0,0,18,16,12,0,0.11111111111111116,2.125,90.0,0.0,90.0
716,14,400.0,15,8,3,0.15,400,GOVERNED,0.25,,0.9,5,14,GOVERNED,6,92,287,20,113,71,71,0,0,0.0,1.0,60.0,0.0,60.0
731,15,400.0,15,8,3,0.15,400,OPEN_LOOP,0.5,,0.9,5,15,OPEN_LOOP,21,358,0,0,0,76,76,42,0,0.0,1.0,210.0,0.0,210.0
738,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.25,1.0,0.9,5,15,COLD_RESTART,4,360,32,6,3,9,8,1,0,0.11111111111111116,4.25,40.0,0.0,40.0
735,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.1,1.0,0.9,5,15,COLD_RESTART,5,368,25,5,0,7,7,2,3,0.0,5.571428571428571,50.0,0.0,50.0
732,15,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,1.0,0.9,5,15,COLD_RESTART,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
