RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
504,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,0,0.9,3,4,MODEL_BASED,4,403,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
505,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,2,0.9,3,4,MODEL_BASED,4,403,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
499,4,400.0,15,8,3,0.15,400,REFLEX,0.5,10,0.9,3,4,REFLEX,10,407,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
506,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,5,0.9,3,4,MODEL_BASED,4,403,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
507,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.05,10,0.9,3,4,MODEL_BASED,4,403,0,0,0,0,0,0,0,0.0,0.0,40.0,0.0,40.0
508,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,0,0.9,3,4,MODEL_BASED,14,405,0,0,0,0,0,0,0,0.0,0.0,140.0,0.0,140.0
497,4,400.0,15,8,3,0.15,400,REFLEX,0.5,2,0.9,3,4,REFLEX,10,407,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
510,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,5,0.9,3,4,MODEL_BASED,14,405,0,0,0,0,0,0,0,0.0,0.0,140.0,0.0,140.0
513,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,2,0.9,3,4,MODEL_BASED,9,230,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
518,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,5,0.9,3,4,MODEL_BASED,9,342,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
519,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,10,0.9,3,4,MODEL_BASED,9,342,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
521,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,2,0.9,3,4,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
516,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,0,0.9,3,4,MODEL_BASED,9,342,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
522,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,5,0.9,3,4,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
515,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,10,0.9,3,4,MODEL_BASED,9,230,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
520,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,0,0.9,3,4,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
514,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,5,0.9,3,4,MODEL_BASED,9,230,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
509,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,2,0.9,3,4,MODEL_BASED,14,405,0,0,0,0,0,0,0,0.0,0.0,140.0,0.0,140.0
528,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,0,0.9,3,4,OPEN_LOOP,16,384,0,0,0,18,18,16,0,0.0,3.8333333333333335,160.0,0.0,160.0
525,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,2,0.9,3,4,OPEN_LOOP,18,390,0,0,0,11,11,10,0,0.0,6.363636363636363,180.0,0.0,180.0
527,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.9,3,4,OPEN_LOOP,18,390,0,0,0,11,11,10,0,0.0,6.363636363636363,180.0,0.0,180.0
511,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.1,10,0.9,3,4,MODEL_BASED,14,405,0,0,0,0,0,0,0,0.0,0.0,140.0,0.0,140.0
517,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.5,2,0.9,3,4,MODEL_BASED,9,342,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
523,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.9,3,4,OPEN_LOOP,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
530,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,5,0.9,3,4,OPEN_LOOP,16,384,0,0,0,18,18,16,0,0.0,3.8333333333333335,160.0,0.0,160.0
526,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,5,0.9,3,4,OPEN_LOOP,18,390,0,0,0,11,11,10,0,0.0,6.363636363636363,180.0,0.0,180.0
533,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,2,0.9,3,4,OPEN_LOOP,5,395,0,0,0,7,7,5,0,0.0,2.2857142857142856,50.0,0.0,50.0
512,4,400.0,15,8,3,0.15,400,MODEL_BASED,0.25,0,0.9,3,4,MODEL_BASED,9,230,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
534,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,5,0.9,3,4,OPEN_LOOP,5,395,0,0,0,7,7,5,0,0.0,2.2857142857142856,50.0,0.0,50.0
535,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,10,0.9,3,4,OPEN_LOOP,5,395,0,0,0,7,7,5,0,0.0,2.2857142857142856,50.0,0.0,50.0
532,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.25,0,0.9,3,4,OPEN_LOOP,5,395,0,0,0,7,7,5,0,0.0,2.2857142857142856,50.0,0.0,50.0
531,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,10,0.9,3,4,OPEN_LOOP,16,384,0,0,0,18,18,16,0,0.0,3.8333333333333335,160.0,0.0,160.0
529,4,400.0,15,8,3,0.15,400,OPEN_LOOP,0.1,2,0.9,3,4,OPEN_LOOP,16,384,0,0,0,18,18,16,0,0.0,3.8333333333333335,160.0,0.0,160.0
540,4,400.0,15,8,3,0.15,400,COLD_RESTART,0.0,0,0.9,3,4,COLD_RESTART,5,400,0,0,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0
