RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,costo_edicion,competencia,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
24,6,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,6,OPEN_LOOP,6,400,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
27,6,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,6,CLOSED_LOOP,11,388,10,1,0,1,1,1,0,0.0,1.0,110.0,0.0,110.0
28,7,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,7,OPEN_LOOP,6,400,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
25,6,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,6,OPEN_LOOP,9,396,0,0,0,4,4,4,0,0.0,1.0,90.0,0.0,90.0
31,7,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,7,CLOSED_LOOP,13,324,68,6,5,9,9,1,0,0.0,3.4444444444444446,130.0,0.0,130.0
34,8,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,8,CLOSED_LOOP,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
29,7,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,7,OPEN_LOOP,11,396,0,0,0,5,5,4,0,0.0,3.4,110.0,0.0,110.0
32,8,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,8,OPEN_LOOP,8,400,0,0,0,0,0,0,0,0.0,0.0,80.0,0.0,80.0
30,7,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,7,CLOSED_LOOP,6,400,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
37,9,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,9,OPEN_LOOP,14,395,0,0,0,6,4,5,0,0.33333333333333337,11.0,140.0,0.0,140.0
26,6,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,6,CLOSED_LOOP,6,400,0,0,0,0,0,0,0,0.0,0.0,60.0,0.0,60.0
38,9,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,9,CLOSED_LOOP,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
33,8,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,8,OPEN_LOOP,12,393,0,0,0,7,7,7,0,0.0,4.857142857142857,120.0,0.0,120.0
40,10,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,10,OPEN_LOOP,9,400,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
41,10,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,10,OPEN_LOOP,13,397,0,0,0,3,3,3,0,0.0,4.666666666666667,130.0,0.0,130.0
39,9,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,9,CLOSED_LOOP,10,353,40,4,0,5,5,3,0,0.0,5.4,100.0,0.0,100.0
44,11,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,11,OPEN_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
46,11,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,11,CLOSED_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
36,9,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,9,OPEN_LOOP,10,400,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,100.0
35,8,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,8,CLOSED_LOOP,6,315,78,6,4,10,9,1,0,0.09999999999999998,3.6666666666666665,60.0,0.0,60.0
43,10,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,10,CLOSED_LOOP,9,388,10,1,0,2,2,1,0,0.0,5.5,90.0,0.0,90.0
48,12,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,12,OPEN_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
50,12,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,12,CLOSED_LOOP,7,400,0,0,0,0,0,0,0,0.0,0.0,70.0,0.0,70.0
45,11,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,11,OPEN_LOOP,2,400,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,20.0
47,11,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.05,10,0.5,3,11,CLOSED_LOOP,2,400,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,20.0
49,12,400.0,15,8,3,0.15,400,OPEN_LOOP,0.05,10,0.5,3,12,OPEN_LOOP,18,393,0,0,0,9,7,7,0,0.2222222222222222,8.285714285714286,180.0,0.0,180.0
42,10,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.0,10,0.5,3,10,CLOSED_LOOP,9,400,0,0,0,0,0,0,0,0.0,0.0,90.0,0.0,90.0
52,13,400.0,15,8,3,0.15,400,OPEN_LOOP,0.0,10,0.5,3,13,OPEN_LOOP,11,400,0,0,0,0,0,0,0,0.0,0.0,110.0,0.0,110.0
