RunId,iteration,Step,size,n_resources,capacidad,densidad_obstaculos,max_steps,policy,lambda_dinamismo,presupuesto,competencia,costo_edicion,radio,rng,politica,entregas,pasos_utiles,pasos_deliberando,n_ediciones,n_ediciones_desperdiciadas,divergencias_reales,divergencias_detectadas,tareas_fallidas,carga_perdida,ceguera,latencia_deteccion,utilidad_bruta,costo_deliberacion,utilidad_neta
54,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,10,0.9,5,3,2,CLOSED_LOOP,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
45,1,400.0,15,8,3,0.15,400,GOVERNED,0.5,5,0.9,5,3,1,GOVERNED,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
55,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,25,0.9,5,3,2,CLOSED_LOOP,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
61,2,400.0,15,8,3,0.15,400,GOVERNED,0.1,5,0.9,5,3,2,GOVERNED,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
63,2,400.0,15,8,3,0.15,400,GOVERNED,0.1,25,0.9,5,3,2,GOVERNED,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
47,1,400.0,15,8,3,0.15,400,GOVERNED,0.5,25,0.9,5,3,1,GOVERNED,2,208,163,4,91,59,59,13,0,0.0,1.0677966101694916,20.0,0.0,20.0
62,2,400.0,15,8,3,0.15,400,GOVERNED,0.1,10,0.9,5,3,2,GOVERNED,3,365,31,4,7,7,7,0,0,0.0,1.0,30.0,0.0,30.0
58,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,10,0.9,5,3,2,CLOSED_LOOP,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
60,2,400.0,15,8,3,0.15,400,GOVERNED,0.1,3,0.9,5,3,2,GOVERNED,9,368,26,3,7,11,11,3,0,0.0,1.8181818181818181,90.0,0.0,90.0
57,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,5,0.9,5,3,2,CLOSED_LOOP,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
64,2,400.0,15,8,3,0.15,400,GOVERNED,0.25,3,0.9,5,3,2,GOVERNED,5,328,60,3,33,24,24,8,0,0.0,1.2083333333333333,50.0,0.0,50.0
65,2,400.0,15,8,3,0.15,400,GOVERNED,0.25,5,0.9,5,3,2,GOVERNED,5,294,94,5,45,29,27,5,0,0.06896551724137934,1.5555555555555556,50.0,0.0,50.0
56,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,3,0.9,5,3,2,CLOSED_LOOP,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
72,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,3,0.9,5,3,3,CLOSED_LOOP,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
74,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,10,0.9,5,3,3,CLOSED_LOOP,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
75,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,25,0.9,5,3,3,CLOSED_LOOP,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
73,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.1,5,0.9,5,3,3,CLOSED_LOOP,7,323,68,8,18,18,17,1,0,0.05555555555555558,2.176470588235294,70.0,0.0,70.0
70,2,400.0,15,8,3,0.15,400,GOVERNED,0.5,10,0.9,5,3,2,GOVERNED,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
59,2,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.5,25,0.9,5,3,2,CLOSED_LOOP,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
66,2,400.0,15,8,3,0.15,400,GOVERNED,0.25,10,0.9,5,3,2,GOVERNED,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
71,2,400.0,15,8,3,0.15,400,GOVERNED,0.5,25,0.9,5,3,2,GOVERNED,0,160,224,9,146,64,64,4,0,0.0,1.15625,0.0,0.0,0.0
67,2,400.0,15,8,3,0.15,400,GOVERNED,0.25,25,0.9,5,3,2,GOVERNED,2,265,121,9,50,31,30,3,0,0.032258064516129004,1.6,20.0,0.0,20.0
76,3,400.0,15,8,3,0.15,400,CLOSED_LOOP,0.25,3,0.9,5,3,3,CLOSED_LOOP,10,348,40,7,7,13,12,4,0,0.07692307692307687,1.9166666666666667,100.0,0.0,100.0
